index, name, zvalue, xvalue, yvalue 
200, Cell_0201.png, 0.41, 0.51, 0.38 
201, Cell_0202.png, 0.40, 0.81, 0.29 
202, Cell_0203.png, 0.41, 0.42, 0.27 
203, Cell_0204.png, 0.40, 0.11, 0.11 
204, Cell_0205.png, 0.43, 0.49, 0.48 
205, Cell_0206.png, 0.41, 0.90, 0.09 
206, Cell_0207.png, 0.42, 0.61, 0.39 
207, Cell_0208.png, 0.41, 0.34, 0.29 
208, Cell_0209.png, 0.43, 0.69, 0.48 
209, Cell_0210.png, 0.40, 0.05, 0.05 
210, Cell_0211.png, 0.44, 0.11, 0.49 
211, Cell_0212.png, 0.42, 0.83, 0.84 
212, Cell_0213.png, 0.42, 0.39, 0.37 
213, Cell_0214.png, 0.40, 0.44, 0.79 
214, Cell_0215.png, 0.40, 0.23, 0.20 
215, Cell_0216.png, 0.40, 0.55, 0.07 
216, Cell_0217.png, 0.45, 0.98, 0.07 
217, Cell_0218.png, 0.37, 0.65, 0.74 
218, Cell_0219.png, 0.42, 0.19, 0.86 
219, Cell_0220.png, 0.35, 0.86, 0.86 
220, Cell_0221.png, 0.33, 0.89, 0.32 
221, Cell_0222.png, 0.42, 0.98, 0.56 
222, Cell_0223.png, 0.42, 0.68, 0.28 
223, Cell_0224.png, 1.02, 0.53, 0.96 
224, Cell_0225.png, 0.97, 0.58, 0.89 
225, Cell_0226.png, 1.00, 0.07, 0.32 
226, Cell_0227.png, 0.39, 0.76, 0.82 
227, Cell_0228.png, 0.41, 0.27, 0.27 
228, Cell_0229.png, 0.41, 0.36, 0.15 
229, Cell_0230.png, 0.38, 0.43, 0.51 
230, Cell_0231.png, 0.40, 0.42, 0.16 
231, Cell_0232.png, 0.34, 0.38, 0.43 
232, Cell_0233.png, 0.40, 0.77, 0.67 
233, Cell_0234.png, 0.39, 0.34, 0.43 
234, Cell_0235.png, 0.38, 0.84, 0.34 
235, Cell_0236.png, 0.37, 0.70, 0.24 
236, Cell_0237.png, 0.36, 0.91, 0.18 
237, Cell_0238.png, 0.40, 0.02, 0.12 
238, Cell_0239.png, 0.41, 0.48, 0.30 
239, Cell_0240.png, 0.35, 0.70, 0.48 
240, Cell_0241.png, 0.39, 0.80, 0.76 
241, Cell_0242.png, 0.30, 0.78, 0.54 
242, Cell_0243.png, 0.34, 0.55, 0.82 
243, Cell_0244.png, 0.39, 0.40, 0.89 
244, Cell_0245.png, 0.41, 0.41, 0.43 
245, Cell_0246.png, 0.40, 0.96, 0.26 
246, Cell_0247.png, 0.40, 0.28, 0.58 
247, Cell_0248.png, 0.35, 0.68, 0.05 
248, Cell_0249.png, 0.40, 0.50, 0.10 
249, Cell_0250.png, 0.37, 0.24, 0.03 
250, Cell_0251.png, 0.41, 0.10, 0.38 
251, Cell_0252.png, 0.38, 0.80, 0.10 
252, Cell_0253.png, 0.38, 0.67, 0.19 
253, Cell_0254.png, 0.35, 0.81, 0.20 
254, Cell_0255.png, 0.38, 0.24, 0.55 
255, Cell_0256.png, 0.38, 0.06, 0.75 
256, Cell_0257.png, 0.42, 0.53, 0.56 
257, Cell_0258.png, 0.32, 0.74, 0.55 
258, Cell_0259.png, 0.34, 1.00, 0.55 
259, Cell_0260.png, 0.34, 0.62, 0.68 
260, Cell_0261.png, 0.40, 0.33, 0.51 
261, Cell_0262.png, 0.38, 0.99, 0.66 
262, Cell_0263.png, 0.38, 0.61, 0.20 
263, Cell_0264.png, 0.41, 0.62, 0.58 
264, Cell_0265.png, 0.41, 0.77, 0.17 
265, Cell_0266.png, 0.42, 0.13, 0.72 
266, Cell_0267.png, 0.37, 0.18, 0.14 
267, Cell_0268.png, 0.42, 0.20, 0.30 
268, Cell_0269.png, 0.43, 0.14, 0.60 
269, Cell_0270.png, 0.33, 0.88, 0.54 
270, Cell_0271.png, 0.39, 0.61, 0.89 
271, Cell_0272.png, 0.41, 0.41, 0.70 
272, Cell_0273.png, 0.40, 0.37, 0.23 
273, Cell_0274.png, 0.40, 0.61, 0.31 
274, Cell_0275.png, 0.32, 0.64, 0.43 
275, Cell_0276.png, 0.33, 0.16, 0.49 
276, Cell_0277.png, 0.32, 0.25, 0.25 
277, Cell_0278.png, 0.39, 0.51, 0.78 
278, Cell_0279.png, 0.32, 0.42, 0.48 
279, Cell_0280.png, 0.22, 0.74, 0.65 
280, Cell_0281.png, 0.35, 0.55, 0.43 
281, Cell_0282.png, 0.41, 0.61, 0.47 
282, Cell_0283.png, 0.39, 0.18, 0.51 
283, Cell_0284.png, 0.36, 0.50, 0.74 
284, Cell_0285.png, 0.36, 0.17, 0.04 
285, Cell_0286.png, 0.38, 0.11, 0.03 
286, Cell_0287.png, 0.41, 0.85, 0.77 
287, Cell_0288.png, 0.37, 0.45, 0.59 
288, Cell_0289.png, 0.40, 0.75, 0.32 
289, Cell_0290.png, 0.41, 0.28, 0.45 
290, Cell_0291.png, 0.34, 0.69, 0.81 
291, Cell_0292.png, 0.41, 0.31, 0.85 
292, Cell_0293.png, 0.43, 0.79, 0.43 
293, Cell_0294.png, 0.42, 0.39, 0.49 
294, Cell_0295.png, 0.36, 0.15, 0.59 
295, Cell_0296.png, 0.34, 0.02, 0.17 
296, Cell_0297.png, 0.34, 0.21, 0.39 
297, Cell_0298.png, 0.33, 0.65, 0.27 
298, Cell_0299.png, 0.34, 0.43, 0.65 
299, Cell_0300.png, 0.41, 0.28, 0.75 
300, Cell_0301.png, 0.38, 0.93, 0.47 
301, Cell_0302.png, 0.41, 0.73, 0.40 
302, Cell_0303.png, 0.32, 0.65, 0.86 
303, Cell_0304.png, 0.39, 0.55, 0.62 
304, Cell_0305.png, 0.35, 0.75, 0.02 
305, Cell_0306.png, 0.39, 0.15, 0.81 
306, Cell_0307.png, 0.31, 0.49, 0.08 
307, Cell_0308.png, 0.41, 0.25, 0.86 
308, Cell_0309.png, 0.30, 0.89, 0.42 
309, Cell_0310.png, 0.34, 0.33, 0.86 
310, Cell_0311.png, 0.30, 0.47, 0.84 
311, Cell_0312.png, 0.34, 0.19, 0.89 
312, Cell_0313.png, 0.35, 0.73, 0.90 
313, Cell_0314.png, 0.35, 0.75, 0.25 
314, Cell_0315.png, 0.30, 0.17, 0.61 
315, Cell_0316.png, 0.40, 0.78, 0.53 
316, Cell_0317.png, 0.30, 0.12, 0.32 
317, Cell_0318.png, 1.00, 0.49, 0.50 
318, Cell_0319.png, 1.01, 1.00, 0.81 
319, Cell_0320.png, 0.99, 0.16, 0.07 
320, Cell_0321.png, 1.02, 0.10, 0.68 
321, Cell_0322.png, 0.37, 0.87, 0.62 
322, Cell_0323.png, 0.35, 0.49, 0.58 
323, Cell_0324.png, 0.39, 0.18, 0.23 
324, Cell_0325.png, 0.38, 0.70, 0.15 
325, Cell_0326.png, 0.37, 0.28, 0.16 
326, Cell_0327.png, 0.40, 0.89, 0.28 
327, Cell_0328.png, 0.37, 0.17, 0.44 
328, Cell_0329.png, 0.42, 0.09, 0.55 
329, Cell_0330.png, 0.42, 0.73, 0.56 
330, Cell_0331.png, 0.39, 0.36, 0.80 
331, Cell_0332.png, 0.44, 0.90, 0.20 
332, Cell_0333.png, 0.40, 0.92, 0.58 
333, Cell_0334.png, 0.41, 0.57, 0.51 
334, Cell_0335.png, 0.30, 0.85, 0.65 
335, Cell_0336.png, 0.33, 0.48, 0.34 
336, Cell_0337.png, 0.31, 0.58, 0.23 
337, Cell_0338.png, 0.33, 0.83, 0.11 
338, Cell_0339.png, 0.34, 0.67, 0.61 
339, Cell_0340.png, 0.33, 0.55, 0.55 
340, Cell_0341.png, 0.35, 0.50, 0.43 
341, Cell_0342.png, 0.39, 0.47, 0.87 
342, Cell_0343.png, 0.32, 0.76, 0.17 
343, Cell_0344.png, 0.37, 0.38, 0.60 
344, Cell_0345.png, 0.39, 0.99, 0.45 
345, Cell_0346.png, 0.32, 0.26, 0.45 
346, Cell_0347.png, 0.34, 0.30, 0.31 
347, Cell_0348.png, 0.32, 0.95, 0.88 
348, Cell_0349.png, 0.34, 0.79, 0.41 
349, Cell_0350.png, 0.35, 0.34, 0.70 
350, Cell_0351.png, 0.40, 0.86, 0.41 
351, Cell_0352.png, 0.35, 0.27, 0.77 
352, Cell_0353.png, 0.41, 0.04, 0.64 
353, Cell_0354.png, 0.41, 0.23, 0.47 
354, Cell_0355.png, 0.32, 0.64, 0.75 
355, Cell_0356.png, 0.33, 0.51, 0.29 
356, Cell_0357.png, 0.34, 0.44, 0.76 
357, Cell_0358.png, 1.01, 0.93, 0.33 
358, Cell_0359.png, 0.98, 0.96, 0.09 
359, Cell_0360.png, 1.00, 0.87, 0.31 
360, Cell_0361.png, 0.99, 0.95, 0.74 
361, Cell_0362.png, 0.98, 0.44, 0.24 
362, Cell_0363.png, 1.00, 0.43, 0.52 
363, Cell_0364.png, 0.99, 0.89, 0.78 
364, Cell_0365.png, 0.98, 0.09, 0.60 
365, Cell_0366.png, 1.00, 0.68, 0.58 
366, Cell_0367.png, 0.99, 0.31, 0.70 
367, Cell_0368.png, 0.98, 0.68, 0.27 
368, Cell_0369.png, 0.97, 0.69, 0.88 
369, Cell_0370.png, 0.99, 0.30, 0.19 
370, Cell_0371.png, 0.37, 0.31, 0.22 
371, Cell_0372.png, 0.36, 0.63, 0.11 
372, Cell_0373.png, 0.36, 0.57, 0.30 
373, Cell_0374.png, 0.42, 0.07, 0.22 
374, Cell_0375.png, 0.42, 0.47, 0.67 
375, Cell_0376.png, 0.39, 0.23, 0.74 
376, Cell_0377.png, 0.40, 0.67, 0.55 
377, Cell_0378.png, 0.40, 0.55, 0.34 
378, Cell_0379.png, 0.98, 0.23, 0.22 
379, Cell_0380.png, 0.98, 0.52, 0.21 
380, Cell_0381.png, 0.99, 0.24, 0.46 
381, Cell_0382.png, 0.98, 0.75, 0.57 
382, Cell_0383.png, 0.97, 0.59, 0.22 
383, Cell_0384.png, 0.99, 0.08, 0.95 
384, Cell_0385.png, 1.01, 1.01, 0.70 
385, Cell_0386.png, 1.00, 0.21, 0.38 
386, Cell_0387.png, 1.00, 0.15, 0.34 
387, Cell_0388.png, 0.98, 0.61, 0.33 
388, Cell_0389.png, 1.00, 0.40, 0.61 
389, Cell_0390.png, 0.20, 0.83, 0.65 
390, Cell_0391.png, 0.17, 0.66, 0.00 
391, Cell_0392.png, 0.12, 0.95, 0.64 
392, Cell_0393.png, 0.27, 0.30, 0.62 
393, Cell_0394.png, 0.10, 0.60, 0.63 
394, Cell_0395.png, 0.18, 0.73, 0.44 
395, Cell_0396.png, 0.15, 0.29, 0.03 
396, Cell_0397.png, 0.18, 0.63, 0.40 
397, Cell_0398.png, 0.27, 0.61, 0.37 
398, Cell_0399.png, 0.25, 0.11, 0.15 
399, Cell_0400.png, 0.18, 0.12, 0.73 
400, Cell_0401.png, 0.17, 0.85, 0.25 
401, Cell_0402.png, 0.26, 0.07, 0.67 
402, Cell_0403.png, 0.10, 0.71, 0.67 
403, Cell_0404.png, 0.22, 0.59, 0.74 
404, Cell_0405.png, 0.14, 0.49, 0.18 
405, Cell_0406.png, 0.28, 0.43, 0.77 
406, Cell_0407.png, 0.17, 0.43, 0.83 
407, Cell_0408.png, 0.14, 0.90, 0.51 
408, Cell_0409.png, 0.17, 0.65, 0.15 
409, Cell_0410.png, 0.15, 0.24, 0.24 
410, Cell_0411.png, 0.26, 0.69, 0.81 
411, Cell_0412.png, 0.28, 0.33, 0.91 
412, Cell_0413.png, 0.19, 0.39, 0.42 
413, Cell_0414.png, 0.13, 0.90, 0.62 
414, Cell_0415.png, 0.14, 0.44, 0.21 
415, Cell_0416.png, 0.22, 0.17, 0.76 
416, Cell_0417.png, 0.18, 0.23, 0.18 
417, Cell_0418.png, 0.18, 0.70, 0.69 
418, Cell_0419.png, 0.27, 0.92, 0.17 
419, Cell_0420.png, 0.25, 0.69, 0.03 
420, Cell_0421.png, 0.23, 0.47, 0.66 
421, Cell_0422.png, 0.22, 0.29, 0.73 
422, Cell_0423.png, 0.25, 0.02, 0.29 
423, Cell_0424.png, 0.18, 0.86, 0.71 
424, Cell_0425.png, 0.23, 0.50, 0.79 
425, Cell_0426.png, 0.18, 0.09, 0.18 
426, Cell_0427.png, 0.17, 0.29, 0.10 
427, Cell_0428.png, 0.16, 0.36, 0.69 
428, Cell_0429.png, 0.23, 0.25, 0.28 
429, Cell_0430.png, 0.18, 0.41, 0.17 
430, Cell_0431.png, 0.20, 0.34, 0.90 
431, Cell_0432.png, 0.22, 0.92, 0.21 
432, Cell_0433.png, 0.22, 0.70, 0.48 
433, Cell_0434.png, 0.18, 0.98, 0.55 
434, Cell_0435.png, 0.22, 0.76, 0.26 
435, Cell_0436.png, 0.18, 0.57, 0.60 
436, Cell_0437.png, 0.22, 0.19, 0.61 
437, Cell_0438.png, 0.25, 0.62, 0.19 
438, Cell_0439.png, 0.17, 0.19, 0.23 
439, Cell_0440.png, 0.23, 0.28, 0.46 
440, Cell_0441.png, 0.19, 0.82, 0.56 
441, Cell_0442.png, 0.30, 0.10, 0.51 
442, Cell_0443.png, 0.14, 0.75, 0.67 
443, Cell_0444.png, 0.22, 0.54, 0.22 
444, Cell_0445.png, 0.15, 0.53, 0.39 
445, Cell_0446.png, 0.18, 0.42, 0.03 
446, Cell_0447.png, 0.24, 0.74, 0.81 
447, Cell_0448.png, 0.28, 0.80, 0.86 
448, Cell_0449.png, 0.26, 0.78, 0.11 
